Model;Run;File;Class;MethodName;Signature;Has_UC_Annotation;UC_Action;UC_References
ChatGPT-4o;1;ChatGPT-4o_run1.json;CollectionPoint;updateDetails;+ updateDetails () : ValidationResult;VRAI;Update collection point name/type/hours;19.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;CollectionPoint;viewPointInfo;+ viewPointInfo () : String;VRAI;Display collection/recycling point info;21.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;CollectionRequest;assignCollection;+ assignCollection (provider : ServiceProvider);VRAI;Assign provider to collection request;8.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;CollectionRequest;markAsCollected;+ markAsCollected ();VRAI;Update collection request as completed;8.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;NotificationService;notifyDeactivation;+ notifyDeactivation (user : UserProfile);VRAI;Email account deactivation confirmation;15.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;NotificationService;notifyRequestAccepted;+ notifyRequestAccepted (user : UserProfile);VRAI;Notify user of request acceptance;8.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;NotificationService;sendResetLink;+ sendResetLink (user : UserCredentials);VRAI;Email password reset link;3.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;NotificationService;sendVerificationEmail;+ sendVerificationEmail (user : UserProfile);VRAI;Send email verification link;1.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;Product;createListing;+ createListing () : ValidationResult;VRAI;List new recyclable product;5.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;Product;updateListing;+ updateListing () : ValidationResult;VRAI;Edit recyclable product details;13.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;RoleManager;assignRole;+ assignRole (profile : UserProfile, role : UserRole) : ValidationResult;VRAI;Assign new role to a user;20.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;RoutePlan;defineRoute;+ defineRoute (points : Coordinates[]);VRAI;Define vehicle route;9.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;SearchFilter;apply;+ apply () : Product[];VRAI;Filter and retrieve product listings;14.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;ServiceProvider;updateServiceDetails;+ updateServiceDetails () : ValidationResult;VRAI;Update vehicle types, availability, and service areas;18.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;ServiceRequest;cancelRequest;+ cancelRequest (user : UserProfile);VRAI;Cancel service request if not fulfilled;12.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;ServiceRequest;submitRequest;+ submitRequest () : ValidationResult;VRAI;Submit new service request;6.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;ServiceRequest;viewStatus;+ viewStatus () : RequestStatus;VRAI;View request status;11.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;TransportRequest;assignTransport;+ assignTransport (provider : ServiceProvider);VRAI;Assign provider to transport request;9.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;TransportRequest;completeTransport;+ completeTransport ();VRAI;Mark transport as completed;9.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserAccount;activateAccount;+ activateAccount ();VRAI;Mark account as active after email verification;1.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserAccount;createAccount;+ createAccount () : ValidationResult;VRAI;Create user account with unverified status;1.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserAccount;deactivateAccount;+ deactivateAccount (reason : String);VRAI;Deactivate account with reason;15.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserAccount;lockAccount;+ lockAccount ();VRAI;Lock account after multiple failed login attempts;2.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserCredentials;confirmPasswordReset;+ confirmPasswordReset ();VRAI;Confirm and finalize password reset;3.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserCredentials;generateResetToken;+ generateResetToken ();VRAI;Generate password reset token;3.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserCredentials;recordFailedAttempt;+ recordFailedAttempt ();VRAI;Increment failed login counter;2.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserCredentials;recordLogin;+ recordLogin ();VRAI;Record successful login time;2.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserCredentials;resetPassword;+ resetPassword (newPassword : String);VRAI;Reset password using valid token;3.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserCredentials;validateCredentials;+ validateCredentials (password : String) : Boolean;VRAI;Validate login credentials;2.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserProfile;updateProfileInfo;+ updateProfileInfo () : ValidationResult;VRAI;Update user personal data;4.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;UserProfile;verifyEmail;+ verifyEmail ();VRAI;Mark email as verified;1.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;WasteJourney;trackByCode;+ trackByCode (code : String) : WasteJourney;VRAI;Retrieve waste journey by tracking code;10.0
ChatGPT-4o;1;ChatGPT-4o_run1.json;WasteJourney;updateStage;+ updateStage (stage : Stage);VRAI;Update current stage of waste journey;8.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;CollectionPoint;updateLocation;+ updateLocation (name : String, type : PointType, hours : OpeningHours[]) : ValidationResult;VRAI;;19.0
ChatGPT-4o;10;ChatGPT-4o_run10.json;NotificationService;alertProvider;+ alertProvider (to : ServiceProvider, type : NotificationType);FAUX;;
ChatGPT-4o;10;ChatGPT-4o_run10.json;NotificationService;sendNotification;+ sendNotification (to : UserProfile, type : NotificationType);FAUX;;
