support_models,class_canon,method_canon,pair,RepresentativeClassRaw,RepresentativeMethodRaw,SelectedUC,UCSelectionMode,RawClassInventory,RawMethodInventory,ActionInventory,UCInstanceCounts,UCModelCounts
9,rolemanager,assignrole,"('rolemanager', 'assignrole')",RoleManager,assignRole,UC20,consensus,RoleManager (n=67),assignRole (n=67),"assign new role to user (n=4); change user role (n=2); assign role to user (n=2); assign role to user account (n=2); Assign new role to user (n=2); Assign new role to a user (n=1); assign role (n=1); update user role (n=1); assign or change user role (n=1); assign/update role (n=1); assign user role (n=1); assign or update user role (n=1); Assign role to user (n=1); assign new role to user account (n=1); Change user role (n=1); Enforce valid role transitions (n=1); Assigns a new role to the user after validation. (n=1); Validate and update user role (n=1); Assign a new role to a user, potentially creating associated entities like ServiceProvider. (n=1); Assign a new role to the user (n=1); Validate and change the role of a user. (n=1); Assigns new role to user (n=1)",UC20:55,UC20:9
9,usercredentials,resetpassword,"('usercredentials', 'resetpassword')",UserCredentials,resetPassword,UC03,consensus,UserCredentials (n=44),resetPassword (n=44),reset password (n=4); reset user password (n=3); update password (n=2); update password with new value (n=2); change password via valid token (n=1); Reset password using valid token (n=1); reset password & clear token (n=1); reset password with token (n=1); Reset password with new value (n=1); Update encrypted password (n=1); Update the user's password using the new encrypted value and clear the reset token details (n=1); Resets the password if the token is valid and not expired. (n=1); Update the encrypted password and clear the reset token. (n=1); Reset password using token (n=1),UC03:41,UC03:9
9,usercredentials,updatepassword,"('usercredentials', 'updatepassword')",UserCredentials,updatePassword,UC03,consensus,UserCredentials (n=30),updatePassword (n=30),Store new encrypted password (n=3); update password (n=2); update password after reset (n=1); update user password (n=1); update password with new value (n=1); Update encrypted password (n=1); Update the stored encrypted password and record the reset date (n=1); Update the password (n=1); Update stored password hash and clear reset token/attempts. (n=1); Update password after verification (n=1); Update user's password after verification (n=1); Updates password after reset (n=1); Update password hash (n=1),UC03:18,UC03:9
8,notificationservice,sendpasswordresetlink,"('notificationservice', 'sendpasswordresetlink')",NotificationService,sendPasswordResetLink,UC03,consensus,NotificationService (n=16),sendPasswordResetLink (n=16),password reset email (n=1); email reset link (n=1); send password reset email (n=1); Deliver password reset instructions (n=1); Send email containing the password reset link (n=1); Send a password reset link to the email (n=1); send password reset link (n=1); Send password reset instructions (n=1),UC03:12,UC03:8
8,notificationservice,sendverificationemail,"('notificationservice', 'sendverificationemail')",NotificationService,sendVerificationEmail,UC01,consensus,NotificationService (n=43),sendVerificationEmail (n=43),send email verification (n=5); Send email verification link (n=4); send verification email (n=4); email verification link (n=2); send verification (n=1); send email verification link (n=1); send account verification email (n=1); Send email verification (n=1); Trigger email confirmation message (n=1); Send email containing the verification link to the user's email address (n=1); Send email verification notification (n=1); Send a verification email to the user (n=1); Sends email verification link (n=1),UC01:30,UC01:8
8,servicerequest,cancel,"('servicerequest', 'cancel')",ServiceRequest,cancel,UC12,consensus,ServiceRequest (n=30),cancel (n=30),cancel request (n=5); cancel service request (n=4); Cancel the service request (n=2); Cancel service request (n=1); cancel pending request (n=1); Mark request as cancelled with timestamp (n=1); Set status to CANCELLED with initiator (n=1); Cancel request and update status (n=1); Cancels active request (n=1),UC12:25,UC12:8
8,useraccount,deactivateaccount,"('useraccount', 'deactivateaccount')",UserAccount,deactivateAccount,UC15,consensus,UserAccount (n=50),deactivateAccount (n=50),deactivate user account (n=2); Mark account as deactivated (n=2); Deactivate user account (n=2); Deactivate account with reason (n=1); soft-delete account (n=1); soft-deactivate user account (n=1); Change account status to DEACTIVATED upon user request (n=1); soft deactivate account (n=1); Deactivates the user account. (n=1); Set account status to DEACTIVATED and record reason. (n=1); deactivate account (n=1); Soft deactivation of user account (n=1),UC15:36; UC01:1,UC01:1; UC15:8
8,useraccount,lockaccount,"('useraccount', 'lockaccount')",UserAccount,lockAccount,UC02,consensus,UserAccount (n=38),lockAccount (n=38),lock account after failed login attempts (n=2); Set account status to LOCKED and record lock date. (n=2); lock account after failed attempts (n=2); Temporarily lock account after failed attempts (n=2); Lock account after multiple failed login attempts (n=1); lock after max failed attempts (n=1); lock account after multiple failed login attempts (n=1); Lock the account due to failed logins (sets status to LOCKED) (n=1); Change account status to LOCKED after multiple failed login attempts (n=1); Locks the user account due to excessive failed login attempts. (n=1); Temporarily locks account after failed attempts (n=1),UC02:31,UC02:8
8,usercredentials,generatepasswordresettoken,"('usercredentials', 'generatepasswordresettoken')",UserCredentials,generatePasswordResetToken,UC03,consensus,UserCredentials (n=36),generatePasswordResetToken (n=36),"generate password reset token (n=6); Generate password reset token (n=3); generate token for password reset (n=2); generate reset token (n=2); create reset token (n=1); create password-reset token (n=1); Create time-limited reset token (n=1); Generate a unique token for password reset and set its expiration (n=1); Generate a password reset token (n=1); Generate a password reset token, set expiration, and return token (n=1); Generate and store a password reset token with an expiration date. (n=1); Generate, store, and set expiration for a password reset token. (n=1); Create password reset token (n=1); Generates password reset token (n=1)",UC03:24,UC03:7
8,usercredentials,validatecredentials,"('usercredentials', 'validatecredentials')",UserCredentials,validateCredentials,UC02,consensus,UserCredentials (n=34),validateCredentials (n=34),validate login credentials (n=4); Validate login credentials (n=1); validate email and password (n=1); verify password matches (n=1); validate password format and requirements (n=1); validate credentials format (n=1); authenticate credentials (n=1); Compare input with stored credentials (n=1); Compare encrypted passwords (n=1); Authenticate user (n=1); Check email/password validity (n=1); Validates login credentials (n=1),UC02:23; UC01:2,UC01:1; UC02:8
